No,Cluster,Namespace,Workload,Replicas,LimitsCPU(m),LimitsMemory(Mi),LimitSRIOV
1,k8s-cicd,abm-100m,Deployment/abm,1,0,2560,0
2,k8s-cicd,abm-100m,Deployment/kttdd-vtt-abm,1,0,3072,0
3,k8s-cicd,abm-2n-migration-01,Deployment/abm,1,0,4096,0
4,k8s-cicd,abm-2n-migration-01,Deployment/kttdd-vtt-abm,1,0,3072,0
5,k8s-cicd,abm-2n-migration-01,Deployment/json-proto-middleware,1,0,8192,0
6,k8s-cicd,abm-2n-migration-02,Deployment/abm,1,0,5120,0
7,k8s-cicd,abm-2n-migration-02,Deployment/kttdd-vtt-abm,1,0,2560,0
8,k8s-cicd,abm-2n-migration-02,Deployment/json-proto-middleware,1,0,8192,0
9,k8s-cicd,abm-cnt-100m,Deployment/abm,1,0,2560,0
10,k8s-cicd,abm-cnt-100m,Deployment/kttdd-vtt-abm,1,0,3072,0
11,k8s-cicd,abm-common,Deployment/abm,1,0,5120,0
12,k8s-cicd,abm-common-02,Deployment/kttdd-vtt-abm,1,0,2560,0
13,k8s-cicd,abm-common-02,Deployment/abm-01,1,0,2560,0
14,k8s-cicd,abm-common-02,Deployment/abm-02,1,0,2560,0
15,k8s-cicd,abm-common-02,Deployment/abm,1,0,5120,0
16,k8s-cicd,abm-common-03,Deployment/json-proto-middleware,1,0,8192,0
17,k8s-cicd,abm-common-03,Deployment/kttdd-vtt-abm,1,0,2560,0
18,k8s-cicd,abm-latest,Deployment/abm-01,1,0,2560,0
19,k8s-cicd,abm-latest,Deployment/abm-02,1,0,2560,0
20,k8s-cicd,abm-latest,Deployment/json-proto-middleware,1,0,7168,0
21,k8s-cicd,abm-latest,Deployment/kttdd-vtt-abm,1,0,3072,0
22,k8s-cicd,abm-latest,Deployment/abm,1,0,5120,0
23,k8s-cicd,abm-mysign,Deployment/json-proto-middleware,1,0,8192,0
24,k8s-cicd,abm-mysign,Deployment/abm,1,0,2560,0
25,k8s-cicd,abm-mysign,Deployment/kttdd-vtt-abm,1,0,2560,0
26,k8s-cicd,abm-svr-tiennn,Deployment/abm,1,0,2560,0
27,k8s-cicd,abm-svr-tiennn,Deployment/abm,1,0,5120,0
28,k8s-cicd,abm-test-user-01,Deployment/json-proto-middleware,1,2,8192,0
29,k8s-cicd,abm-test-user-01,Deployment/kttdd-vtt-abm,1,0,2560,0
30,k8s-cicd,abm-test-user-02,Deployment/abm,1,2,5120,0
31,k8s-cicd,abm-test-user-02,Deployment/json-proto-middleware,1,2,8192,0
32,k8s-cicd,abm-test-user-02,Deployment/kttdd-vtt-abm,1,2,2048,0
33,k8s-cicd,abnormal-latest,Deployment/abnormal,1,0,2560,0
34,k8s-cicd,abnormal-latest,Deployment/autotestrecurring,1,0,2560,0
35,k8s-cicd,abnormal-latest,Deployment/convergent-cgw,1,0,2560,0
36,k8s-cicd,abnormal-latest,Deployment/convergent-chp,1,0,2560,0
37,k8s-cicd,abnormal-latest,Deployment/event-processor,1,0,2560,0
38,k8s-cicd,abnormal-latest,Deployment/gx-cgw,1,0,4096,0
39,k8s-cicd,abnormal-latest,Deployment/gx-chp,1,0,2560,0
40,k8s-cicd,abnormal-latest,Deployment/rx-cgw,1,0,2560,0
41,k8s-cicd,abnormal-latest,Deployment/rx-chp,1,0,2560,0
42,k8s-cicd,abnormal-latest,Deployment/rx-pcp,1,0,2560,0
43,k8s-cicd,abnormal-latest,Deployment/snopic-cgw,1,0,2560,0
44,k8s-cicd,abnormal-latest,Deployment/voice-chp,1,0,2560,0